flight_number,airline_name,departure_airport,departure_city,departure_country,departure_time,arrival_airport,arrival_city,arrival_country,duration_hours
LA2404,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,6:06 PM,Ministro Pistarini International,Buenos Aires,Argentina,9.5
AC2119,Air Canada,Toronto Pearson,Toronto,Canada,6:15 AM,John F. Kennedy International,New York,USA,17.69
KL5737,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,5:25 PM,Charles de Gaulle,Paris,France,12.44
AC5771,Air Canada,Toronto Pearson,Toronto,Canada,9:30 PM,John F. Kennedy International,New York,USA,11.58
AA1540,American Airlines,John F. Kennedy International,New York,USA,9:17 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,23.85
TG3467,Thai Airways,Suvarnabhumi,Bangkok,Thailand,9:56 AM,Changi,Singapore,Singapore,21.65
SK2568,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,4:24 PM,Charles de Gaulle,Paris,France,3.9
NH3833,All Nippon Airways,Haneda,Tokyo,Japan,7:32 AM,Cape Town International,Cape Town,South Africa,13.36
AC6293,Air Canada,Toronto Pearson,Toronto,Canada,1:06 PM,John F. Kennedy International,New York,USA,8.31
AZ9875,Alitalia,Leonardo da Vinci International,Rome,Italy,4:46 AM,Adolfo Suárez Madrid–Barajas,Madrid,Spain,23.84
KE4629,Korean Air,Incheon International,Seoul,South Korea,8:40 PM,Ministro Pistarini International,Buenos Aires,Argentina,13.1
KL7528,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,9:43 PM,Charles de Gaulle,Paris,France,14.71
QR9258,Qatar Airways,Hamad International,Doha,Qatar,4:21 AM,Frankfurt Airport,Frankfurt,Germany,6.4
DL9737,Delta Air Lines,John F. Kennedy International,New York,USA,12:47 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,20.95
WN2811,Southwest Airlines,Los Angeles International,Los Angeles,USA,11:46 PM,San Francisco International,San Francisco,USA,19.36
AI6595,Air India,Indira Gandhi International,Delhi,India,10:32 PM,Chhatrapati Shivaji International,Mumbai,India,22.77
UA1609,United Airlines,Los Angeles International,Los Angeles,USA,2:13 AM,Vancouver International,Vancouver,Canada,7.55
AV3025,Avianca,El Dorado International,Bogotá,Colombia,10:35 AM,O'Hare International,Chicago,USA,4.46
SA2594,South African Airways,O.R. Tambo International,Johannesburg,South Africa,10:59 PM,Charles de Gaulle,Paris,France,11.03
WN4492,Southwest Airlines,Los Angeles International,Los Angeles,USA,12:04 PM,Suvarnabhumi,Bangkok,Thailand,22.56
LA1090,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,7:35 AM,Ministro Pistarini International,Buenos Aires,Argentina,15.83
DL6343,Delta Air Lines,John F. Kennedy International,New York,USA,9:46 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,3.12
AM7841,Aeroméxico,Benito Juárez International,Mexico City,Mexico,3:45 AM,O'Hare International,Chicago,USA,10.83
AV6230,Avianca,El Dorado International,Bogotá,Colombia,3:00 AM,O'Hare International,Chicago,USA,1.08
AI2219,Air India,Indira Gandhi International,Delhi,India,10:51 AM,Chhatrapati Shivaji International,Mumbai,India,7.11
AC9211,Air Canada,Toronto Pearson,Toronto,Canada,2:58 PM,Miami International,Miami,USA,16.47
SK7218,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,5:21 PM,Ministro Pistarini International,Buenos Aires,Argentina,2.53
EK2864,Emirates,Dubai International,Dubai,UAE,8:52 AM,Hamad International,Doha,Qatar,13.73
AV1487,Avianca,El Dorado International,Bogotá,Colombia,2:12 PM,O'Hare International,Chicago,USA,8.63
NH7569,All Nippon Airways,Haneda,Tokyo,Japan,10:01 PM,Incheon International,Seoul,South Korea,1.36
LH3657,Lufthansa,Frankfurt Airport,Frankfurt,Germany,12:03 AM,Charles de Gaulle,Paris,France,3.41
UA6425,United Airlines,Los Angeles International,Los Angeles,USA,12:41 PM,San Francisco International,San Francisco,USA,17.9
CX8409,Cathay Pacific,Hong Kong International,Hong Kong,China,12:28 PM,Changi,Singapore,Singapore,18.05
DL3294,Delta Air Lines,John F. Kennedy International,New York,USA,6:34 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,16.31
KL5923,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,2:16 AM,Charles de Gaulle,Paris,France,2.86
QF5453,Qantas,Sydney Airport,Sydney,Australia,8:12 PM,Melbourne Airport,Melbourne,Australia,4.64
LA5610,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,4:46 PM,Zurich Airport,Zurich,Switzerland,1.17
NZ6527,Air New Zealand,Auckland Airport,Auckland,New Zealand,4:34 AM,Suvarnabhumi,Bangkok,Thailand,6.25
SQ7617,Singapore Airlines,Changi,Singapore,Singapore,11:40 PM,São Paulo/Guarulhos International,São Paulo,Brazil,15.37
AZ7290,Alitalia,Leonardo da Vinci International,Rome,Italy,11:28 PM,Charles de Gaulle,Paris,France,2.97
IB1036,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,8:17 AM,Charles de Gaulle,Paris,France,21.9
ET3948,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,9:07 PM,Changi,Singapore,Singapore,14.62
UA9240,United Airlines,Los Angeles International,Los Angeles,USA,4:41 PM,Adolfo Suárez Madrid–Barajas,Madrid,Spain,11.32
NZ8224,Air New Zealand,Auckland Airport,Auckland,New Zealand,6:25 PM,Sydney Airport,Sydney,Australia,21.44
AV5400,Avianca,El Dorado International,Bogotá,Colombia,1:04 AM,O'Hare International,Chicago,USA,22.16
DL2173,Delta Air Lines,John F. Kennedy International,New York,USA,9:45 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,2.15
KE9265,Korean Air,Incheon International,Seoul,South Korea,5:53 PM,Haneda,Tokyo,Japan,13.2
NZ2252,Air New Zealand,Auckland Airport,Auckland,New Zealand,6:41 AM,Sydney Airport,Sydney,Australia,16.92
CX1163,Cathay Pacific,Hong Kong International,Hong Kong,China,10:49 PM,Changi,Singapore,Singapore,12.88
AM2655,Aeroméxico,Benito Juárez International,Mexico City,Mexico,10:00 PM,Miami International,Miami,USA,10.67
IB7103,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,4:20 AM,Charles de Gaulle,Paris,France,13.98
TG4562,Thai Airways,Suvarnabhumi,Bangkok,Thailand,3:53 AM,Changi,Singapore,Singapore,23.67
AM3367,Aeroméxico,Benito Juárez International,Mexico City,Mexico,9:01 PM,O'Hare International,Chicago,USA,18.35
NH8525,All Nippon Airways,Haneda,Tokyo,Japan,3:21 AM,Melbourne Airport,Melbourne,Australia,1.24
AF5997,Air France,Charles de Gaulle,Paris,France,12:57 AM,Frankfurt Airport,Frankfurt,Germany,9.54
AV6698,Avianca,El Dorado International,Bogotá,Colombia,9:25 PM,O'Hare International,Chicago,USA,4.66
KL1984,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,4:52 AM,Adolfo Suárez Madrid–Barajas,Madrid,Spain,2.59
DL3149,Delta Air Lines,John F. Kennedy International,New York,USA,4:38 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,9.79
AC1394,Air Canada,Toronto Pearson,Toronto,Canada,11:44 PM,El Dorado International,Bogotá,Colombia,11.5
DL8564,Delta Air Lines,John F. Kennedy International,New York,USA,1:42 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,18.17
AV7161,Avianca,El Dorado International,Bogotá,Colombia,10:57 PM,O'Hare International,Chicago,USA,11.28
AC5234,Air Canada,Toronto Pearson,Toronto,Canada,9:17 AM,John F. Kennedy International,New York,USA,16.34
AF2263,Air France,Charles de Gaulle,Paris,France,8:25 AM,Adolfo Suárez Madrid–Barajas,Madrid,Spain,2.05
BA7831,British Airways,Heathrow,London,UK,12:16 AM,Charles de Gaulle,Paris,France,1.38
AV2787,Avianca,El Dorado International,Bogotá,Colombia,10:31 PM,O'Hare International,Chicago,USA,14.83
SA4339,South African Airways,O.R. Tambo International,Johannesburg,South Africa,6:33 AM,Charles de Gaulle,Paris,France,18.7
QR9598,Qatar Airways,Hamad International,Doha,Qatar,10:56 AM,Charles de Gaulle,Paris,France,8.25
TG7834,Thai Airways,Suvarnabhumi,Bangkok,Thailand,12:49 PM,Ministro Pistarini International,Buenos Aires,Argentina,23.95
NH2702,All Nippon Airways,Haneda,Tokyo,Japan,8:55 PM,Incheon International,Seoul,South Korea,11.67
SQ4591,Singapore Airlines,Changi,Singapore,Singapore,3:53 AM,Bole International,Addis Ababa,Ethiopia,2.0
BA8026,British Airways,Heathrow,London,UK,9:17 AM,Vancouver International,Vancouver,Canada,4.36
AF2692,Air France,Charles de Gaulle,Paris,France,8:53 PM,Amsterdam Airport Schiphol,Amsterdam,Netherlands,4.45
SA2680,South African Airways,O.R. Tambo International,Johannesburg,South Africa,12:03 PM,Adolfo Suárez Madrid–Barajas,Madrid,Spain,4.71
BA9490,British Airways,Heathrow,London,UK,2:55 AM,Charles de Gaulle,Paris,France,14.22
AA2865,American Airlines,John F. Kennedy International,New York,USA,1:04 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,5.37
SQ9977,Singapore Airlines,Changi,Singapore,Singapore,6:55 PM,Indira Gandhi International,Delhi,India,13.26
SQ2511,Singapore Airlines,Changi,Singapore,Singapore,1:43 PM,Beijing Capital International,Beijing,China,21.46
SK6834,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,5:56 AM,Amsterdam Airport Schiphol,Amsterdam,Netherlands,23.18
AM5180,Aeroméxico,Benito Juárez International,Mexico City,Mexico,12:29 AM,O'Hare International,Chicago,USA,23.61
AC9723,Air Canada,Toronto Pearson,Toronto,Canada,6:01 AM,Vienna International,Vienna,Austria,23.09
IB1310,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,8:49 AM,Munich Airport,Munich,Germany,10.42
AZ3341,Alitalia,Leonardo da Vinci International,Rome,Italy,7:10 AM,Haneda,Tokyo,Japan,14.39
AV3392,Avianca,El Dorado International,Bogotá,Colombia,12:48 AM,O'Hare International,Chicago,USA,16.81
ET5694,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,3:52 PM,Amsterdam Airport Schiphol,Amsterdam,Netherlands,22.02
AV3789,Avianca,El Dorado International,Bogotá,Colombia,12:00 AM,O'Hare International,Chicago,USA,4.84
AM7823,Aeroméxico,Benito Juárez International,Mexico City,Mexico,1:59 AM,O'Hare International,Chicago,USA,14.61
CX6238,Cathay Pacific,Hong Kong International,Hong Kong,China,4:17 PM,Changi,Singapore,Singapore,14.7
IB7768,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,9:55 AM,O.R. Tambo International,Johannesburg,South Africa,23.08
KE5277,Korean Air,Incheon International,Seoul,South Korea,10:40 AM,Haneda,Tokyo,Japan,11.27
KE8796,Korean Air,Incheon International,Seoul,South Korea,8:03 PM,Haneda,Tokyo,Japan,22.75
CX8376,Cathay Pacific,Hong Kong International,Hong Kong,China,5:46 AM,Adolfo Suárez Madrid–Barajas,Madrid,Spain,13.82
SQ8334,Singapore Airlines,Changi,Singapore,Singapore,4:06 AM,Beijing Capital International,Beijing,China,3.52
IB8118,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,6:13 AM,Charles de Gaulle,Paris,France,9.01
AV1895,Avianca,El Dorado International,Bogotá,Colombia,9:21 AM,O'Hare International,Chicago,USA,19.73
QR3362,Qatar Airways,Hamad International,Doha,Qatar,11:28 PM,Bole International,Addis Ababa,Ethiopia,7.59
AC5745,Air Canada,Toronto Pearson,Toronto,Canada,3:11 PM,Logan International,Boston,USA,5.84
KE5048,Korean Air,Incheon International,Seoul,South Korea,5:06 PM,Haneda,Tokyo,Japan,14.15
LA6020,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,2:48 AM,Ministro Pistarini International,Buenos Aires,Argentina,6.12
WN4544,Southwest Airlines,Los Angeles International,Los Angeles,USA,1:43 AM,San Francisco International,San Francisco,USA,23.93
AA6299,American Airlines,John F. Kennedy International,New York,USA,3:08 AM,Changi,Singapore,Singapore,19.96
QF1757,Qantas,Sydney Airport,Sydney,Australia,12:50 PM,Melbourne Airport,Melbourne,Australia,9.95
CX8811,Cathay Pacific,Hong Kong International,Hong Kong,China,6:01 PM,Changi,Singapore,Singapore,9.39
AZ6413,Alitalia,Leonardo da Vinci International,Rome,Italy,11:34 AM,Charles de Gaulle,Paris,France,19.42
WN7481,Southwest Airlines,Los Angeles International,Los Angeles,USA,1:09 PM,Seattle-Tacoma International,Seattle,USA,4.55
NH2468,All Nippon Airways,Haneda,Tokyo,Japan,12:00 PM,Incheon International,Seoul,South Korea,22.78
NZ5365,Air New Zealand,Auckland Airport,Auckland,New Zealand,4:20 PM,Haneda,Tokyo,Japan,20.31
UA8020,United Airlines,Los Angeles International,Los Angeles,USA,1:55 AM,San Francisco International,San Francisco,USA,12.27
DL6459,Delta Air Lines,John F. Kennedy International,New York,USA,6:49 PM,Logan International,Boston,USA,7.05
BA4087,British Airways,Heathrow,London,UK,12:33 PM,Charles de Gaulle,Paris,France,17.06
ET9507,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,8:09 PM,Amsterdam Airport Schiphol,Amsterdam,Netherlands,21.27
WN3007,Southwest Airlines,Los Angeles International,Los Angeles,USA,1:02 AM,San Francisco International,San Francisco,USA,1.89
AV6783,Avianca,El Dorado International,Bogotá,Colombia,7:34 AM,O'Hare International,Chicago,USA,18.4
LH4752,Lufthansa,Frankfurt Airport,Frankfurt,Germany,6:58 PM,Charles de Gaulle,Paris,France,11.64
AI3656,Air India,Indira Gandhi International,Delhi,India,4:44 PM,Chhatrapati Shivaji International,Mumbai,India,23.9
SK8168,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,12:35 AM,Stockholm Arlanda,Stockholm,Sweden,9.36
NZ3240,Air New Zealand,Auckland Airport,Auckland,New Zealand,10:15 PM,Sydney Airport,Sydney,Australia,10.84
AI5502,Air India,Indira Gandhi International,Delhi,India,11:01 PM,Chhatrapati Shivaji International,Mumbai,India,9.64
NH9241,All Nippon Airways,Haneda,Tokyo,Japan,12:39 PM,Changi,Singapore,Singapore,8.73
AF2634,Air France,Charles de Gaulle,Paris,France,7:18 PM,Frankfurt Airport,Frankfurt,Germany,2.66
UA1667,United Airlines,Los Angeles International,Los Angeles,USA,2:26 PM,San Francisco International,San Francisco,USA,16.24
NZ9763,Air New Zealand,Auckland Airport,Auckland,New Zealand,11:58 AM,El Dorado International,Bogotá,Colombia,19.78
SA8024,South African Airways,O.R. Tambo International,Johannesburg,South Africa,6:32 AM,Adolfo Suárez Madrid–Barajas,Madrid,Spain,20.4
SQ7311,Singapore Airlines,Changi,Singapore,Singapore,4:27 AM,Beijing Capital International,Beijing,China,20.58
SA2638,South African Airways,O.R. Tambo International,Johannesburg,South Africa,3:53 AM,Charles de Gaulle,Paris,France,7.41
SA8759,South African Airways,O.R. Tambo International,Johannesburg,South Africa,6:54 AM,Charles de Gaulle,Paris,France,5.21
AA6826,American Airlines,John F. Kennedy International,New York,USA,8:07 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,7.58
SQ5805,Singapore Airlines,Changi,Singapore,Singapore,1:06 AM,Beijing Capital International,Beijing,China,21.76
UA1486,United Airlines,Los Angeles International,Los Angeles,USA,1:37 AM,San Francisco International,San Francisco,USA,15.72
IB1590,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,12:13 AM,Charles de Gaulle,Paris,France,5.46
UA4386,United Airlines,Los Angeles International,Los Angeles,USA,1:12 PM,San Francisco International,San Francisco,USA,5.86
SQ3769,Singapore Airlines,Changi,Singapore,Singapore,11:05 AM,Beijing Capital International,Beijing,China,6.13
QR7697,Qatar Airways,Hamad International,Doha,Qatar,10:30 AM,Bole International,Addis Ababa,Ethiopia,16.44
QR4532,Qatar Airways,Hamad International,Doha,Qatar,7:07 AM,Bole International,Addis Ababa,Ethiopia,21.45
AZ1731,Alitalia,Leonardo da Vinci International,Rome,Italy,12:24 AM,Charles de Gaulle,Paris,France,9.18
DL2731,Delta Air Lines,John F. Kennedy International,New York,USA,7:06 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,20.05
LA1118,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,6:08 PM,Ministro Pistarini International,Buenos Aires,Argentina,3.14
KL9443,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,2:06 AM,Charles de Gaulle,Paris,France,21.12
AC5741,Air Canada,Toronto Pearson,Toronto,Canada,11:05 PM,John F. Kennedy International,New York,USA,12.57
AM8244,Aeroméxico,Benito Juárez International,Mexico City,Mexico,5:39 AM,O'Hare International,Chicago,USA,10.15
SA1461,South African Airways,O.R. Tambo International,Johannesburg,South Africa,9:16 AM,Indira Gandhi International,Delhi,India,11.69
IB2817,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,5:42 AM,Arturo Merino Benítez International,Santiago,Chile,19.64
WN4006,Southwest Airlines,Los Angeles International,Los Angeles,USA,2:11 AM,San Francisco International,San Francisco,USA,14.22
AI5161,Air India,Indira Gandhi International,Delhi,India,2:23 AM,Suvarnabhumi,Bangkok,Thailand,13.65
AA6299,American Airlines,John F. Kennedy International,New York,USA,8:39 PM,Changi,Singapore,Singapore,7.54
AV8080,Avianca,El Dorado International,Bogotá,Colombia,5:41 AM,O'Hare International,Chicago,USA,23.64
KL4805,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,4:41 AM,Charles de Gaulle,Paris,France,20.05
ET8426,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,6:29 AM,Melbourne Airport,Melbourne,Australia,14.13
QR9262,Qatar Airways,Hamad International,Doha,Qatar,11:50 AM,Bole International,Addis Ababa,Ethiopia,19.32
AZ2628,Alitalia,Leonardo da Vinci International,Rome,Italy,12:02 AM,Charles de Gaulle,Paris,France,18.4
ET1504,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,6:37 AM,Munich Airport,Munich,Germany,4.34
LH4249,Lufthansa,Frankfurt Airport,Frankfurt,Germany,3:59 PM,Charles de Gaulle,Paris,France,11.87
LA9766,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,3:04 PM,Ministro Pistarini International,Buenos Aires,Argentina,10.41
AI8375,Air India,Indira Gandhi International,Delhi,India,10:01 PM,Chhatrapati Shivaji International,Mumbai,India,22.87
IB7456,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,3:53 AM,Charles de Gaulle,Paris,France,8.18
TG2287,Thai Airways,Suvarnabhumi,Bangkok,Thailand,12:37 PM,Changi,Singapore,Singapore,7.29
DL8321,Delta Air Lines,John F. Kennedy International,New York,USA,10:32 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,10.66
QR9968,Qatar Airways,Hamad International,Doha,Qatar,7:49 PM,Bole International,Addis Ababa,Ethiopia,3.26
AF8357,Air France,Charles de Gaulle,Paris,France,9:20 PM,Frankfurt Airport,Frankfurt,Germany,1.92
KE9657,Korean Air,Incheon International,Seoul,South Korea,8:49 PM,Haneda,Tokyo,Japan,7.35
LH6786,Lufthansa,Frankfurt Airport,Frankfurt,Germany,1:13 AM,Jomo Kenyatta International,Nairobi,Kenya,11.93
QR8144,Qatar Airways,Hamad International,Doha,Qatar,6:19 AM,Bole International,Addis Ababa,Ethiopia,19.5
ET1556,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,11:50 AM,Adolfo Suárez Madrid–Barajas,Madrid,Spain,5.57
NZ6707,Air New Zealand,Auckland Airport,Auckland,New Zealand,9:45 AM,Sydney Airport,Sydney,Australia,22.34
NH6679,All Nippon Airways,Haneda,Tokyo,Japan,7:42 PM,Incheon International,Seoul,South Korea,20.17
IB5771,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,4:36 AM,Charles de Gaulle,Paris,France,15.29
ET5520,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,4:10 PM,Hamad International,Doha,Qatar,19.87
SQ7113,Singapore Airlines,Changi,Singapore,Singapore,11:00 AM,O'Hare International,Chicago,USA,6.94
NZ8978,Air New Zealand,Auckland Airport,Auckland,New Zealand,10:14 AM,Changi,Singapore,Singapore,5.72
NZ1348,Air New Zealand,Auckland Airport,Auckland,New Zealand,4:20 AM,Sydney Airport,Sydney,Australia,7.78
EK6770,Emirates,Dubai International,Dubai,UAE,12:59 AM,Hamad International,Doha,Qatar,6.87
AZ2628,Alitalia,Leonardo da Vinci International,Rome,Italy,5:52 AM,Charles de Gaulle,Paris,France,10.32
AM9678,Aeroméxico,Benito Juárez International,Mexico City,Mexico,8:06 AM,O'Hare International,Chicago,USA,16.21
AZ7873,Alitalia,Leonardo da Vinci International,Rome,Italy,10:59 AM,Charles de Gaulle,Paris,France,16.91
QR7315,Qatar Airways,Hamad International,Doha,Qatar,4:05 PM,Jomo Kenyatta International,Nairobi,Kenya,3.15
LA9044,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,7:55 PM,Benito Juárez International,Mexico City,Mexico,21.3
SA6503,South African Airways,O.R. Tambo International,Johannesburg,South Africa,6:21 AM,Charles de Gaulle,Paris,France,17.59
QF8880,Qantas,Sydney Airport,Sydney,Australia,2:48 AM,Melbourne Airport,Melbourne,Australia,12.36
AM2030,Aeroméxico,Benito Juárez International,Mexico City,Mexico,9:57 AM,San Francisco International,San Francisco,USA,3.13
TG3623,Thai Airways,Suvarnabhumi,Bangkok,Thailand,9:25 PM,Chhatrapati Shivaji International,Mumbai,India,6.06
QR5213,Qatar Airways,Hamad International,Doha,Qatar,11:27 PM,Charles de Gaulle,Paris,France,2.48
AM9131,Aeroméxico,Benito Juárez International,Mexico City,Mexico,8:02 AM,O'Hare International,Chicago,USA,13.86
AF3874,Air France,Charles de Gaulle,Paris,France,10:47 PM,Frankfurt Airport,Frankfurt,Germany,10.54
LH7516,Lufthansa,Frankfurt Airport,Frankfurt,Germany,5:40 PM,Charles de Gaulle,Paris,France,16.61
LA8264,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,5:12 PM,Ministro Pistarini International,Buenos Aires,Argentina,20.64
NH8629,All Nippon Airways,Haneda,Tokyo,Japan,6:35 PM,Stockholm Arlanda,Stockholm,Sweden,8.75
CX5881,Cathay Pacific,Hong Kong International,Hong Kong,China,1:03 PM,Changi,Singapore,Singapore,10.3
LH1740,Lufthansa,Frankfurt Airport,Frankfurt,Germany,4:25 AM,Charles de Gaulle,Paris,France,11.49
LH5850,Lufthansa,Frankfurt Airport,Frankfurt,Germany,9:04 AM,Charles de Gaulle,Paris,France,13.39
ET4601,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,6:02 AM,Hamad International,Doha,Qatar,8.8
TG3467,Thai Airways,Suvarnabhumi,Bangkok,Thailand,12:33 PM,Changi,Singapore,Singapore,1.86
BA7019,British Airways,Heathrow,London,UK,2:14 AM,Charles de Gaulle,Paris,France,10.41
AI9509,Air India,Indira Gandhi International,Delhi,India,12:44 AM,Chhatrapati Shivaji International,Mumbai,India,8.43
AI6039,Air India,Indira Gandhi International,Delhi,India,3:15 AM,Kuala Lumpur International,Kuala Lumpur,Malaysia,11.87
CX1399,Cathay Pacific,Hong Kong International,Hong Kong,China,5:54 AM,Changi,Singapore,Singapore,4.92
AA3272,American Airlines,John F. Kennedy International,New York,USA,9:04 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,21.7
NZ9559,Air New Zealand,Auckland Airport,Auckland,New Zealand,8:05 AM,Cape Town International,Cape Town,South Africa,1.37
AA9121,American Airlines,John F. Kennedy International,New York,USA,1:19 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,22.58
DL6523,Delta Air Lines,John F. Kennedy International,New York,USA,1:15 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,13.17
AF4367,Air France,Charles de Gaulle,Paris,France,3:34 PM,Frankfurt Airport,Frankfurt,Germany,7.72
NZ1302,Air New Zealand,Auckland Airport,Auckland,New Zealand,3:18 PM,Changi,Singapore,Singapore,5.08
AF2406,Air France,Charles de Gaulle,Paris,France,9:02 PM,Zurich Airport,Zurich,Switzerland,22.74
QR8922,Qatar Airways,Hamad International,Doha,Qatar,2:46 AM,Charles de Gaulle,Paris,France,18.09
QR4802,Qatar Airways,Hamad International,Doha,Qatar,10:58 PM,Haneda,Tokyo,Japan,19.81
WN9087,Southwest Airlines,Los Angeles International,Los Angeles,USA,5:41 PM,San Francisco International,San Francisco,USA,8.37
AA2865,American Airlines,John F. Kennedy International,New York,USA,3:23 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,10.01
AA6821,American Airlines,John F. Kennedy International,New York,USA,12:06 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,21.66
SA3713,South African Airways,O.R. Tambo International,Johannesburg,South Africa,12:41 AM,Frankfurt Airport,Frankfurt,Germany,20.28
KL6164,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,7:28 PM,Charles de Gaulle,Paris,France,2.58
LH9308,Lufthansa,Frankfurt Airport,Frankfurt,Germany,12:55 PM,Charles de Gaulle,Paris,France,5.92
